State,Tax,Year,Petrol_Consumption_Gal
Alaska,8.95,2020,1656228000
Alabama,24,2020,4391814000
Arkansas,24.8,2020,2592408000
Arizona,19,2020,4531506000
California,53.3,2020,22015686000
Colorado,22,2020,3644340000
Connecticut,25,2020,2188872000
"Washington, D.C.",23.5,2020,129150000
Delaware,23,2020,850626000
Florida,34.396,2020,12448128000
Georgia,27.9,2020,7330050000
Hawaii,16,2020,1419852000
Iowa,30.5,2020,3607884000
Idaho,33,2020,1464834000
Illinois,39.1,2020,8843226000
Indiana,30,2020,5347902000
Kansas,24.03,2020,2703792000
Kentucky,26,2020,4613784000
Louisiana,20.00125,2020,17280900000
Massachusetts,24,2020,3739890000
Maryland,36.7,2020,3357396000
Maine,30,2020,1307250000
Michigan,26.3,2020,6421548000
Minnesota,28.6,2020,4582074000
Missouri,17.42,2020,4851168000
Mississippi,18.4,2020,3016734000
Montana,32,2020,1393770000
North Carolina,36.35,2020,6829494000
North Dakota,23,2020,1315230000
Nebraska,30.2,2020,1871478000
New Hampshire,23.825,2020,1167810000
New Jersey,41.4,2020,5642112000
New Mexico,18.875,2020,1940190000
Nevada,23.805,2020,2016588000
New York,25.45,2020,8806014000
Ohio,38.5,2020,8107680000
Oklahoma,20,2020,3829350000
Oregon,36,2020,2495262000
Pennsylvania,57.6,2020,7880964000
Rhode Island,35,2020,564564000
South Carolina,22.75,2020,3906126000
South Dakota,30,2020,987504000
Tennessee,27.4,2020,5432742000
Texas,20,2020,60162144000
Utah,31.1,2020,2319576000
Virginia,16.2,2020,6184836000
Vermont,30.81,2020,593292000
Washington,49.4,2020,4994934000
Wisconsin,32.9,2020,4191558000
West Virginia,35.7,2020,1495284000
Wyoming,24,2020,1088262000
Alaska,8.95,2019,1648752000
Alabama,18,2019,4416384000
Arkansas,21.8,2019,2726346000
Arizona,19,2019,5049744000
California,47.7,2019,27694212000
Colorado,22,2019,4363674000
Connecticut,25,2019,2544738000
"Washington, D.C.",23.5,2019,155190000
Delaware,23,2019,983682000
Florida,31.425,2019,14968422000
Georgia,27.5,2019,8267196000
Hawaii,16,2019,1992270000
Iowa,30.5,2019,3862194000
Idaho,33,2019,1524810000
Illinois,20.1,2019,10330950000
Indiana,29,2019,5804652000
Kansas,25.03,2019,2854362000
Kentucky,26,2019,5059740000
Louisiana,20.125,2019,15861594000
Massachusetts,24,2019,4744740000
Maryland,35.3,2019,4018140000
Maine,30,2019,1394946000
Michigan,26.3,2019,7480200000
Minnesota,28.6,2019,5362224000
Missouri,17.42,2019,5246892000
Mississippi,18.4,2019,3141684000
Montana,31.5,2019,1409394000
North Carolina,36.45,2019,7634718000
North Dakota,23,2019,1514856000
Nebraska,30.5,2019,1996638000
New Hampshire,23.825,2019,1306914000
New Jersey,41.4,2019,6945414000
New Mexico,18.875,2019,2139690000
Nevada,23.805,2019,2496774000
New York,25.75,2019,11339958000
Ohio,28,2019,8861832000
Oklahoma,20,2019,4220076000
Oregon,34,2019,2785146000
Pennsylvania,57.6,2019,9355164000
Rhode Island,34,2019,642978000
South Carolina,20.75,2019,4333896000
South Dakota,30,2019,971082000
Tennessee,26.4,2019,5889576000
Texas,20,2019,65241414000
Utah,30,2019,2484216000
Virginia,16.2,2019,7237902000
Vermont,31.19,2019,656712000
Washington,49.4,2019,6351030000
Wisconsin,32.9,2019,4662462000
West Virginia,35.7,2019,1731240000
Wyoming,24,2019,1215144000
Alaska,8.95,2018,1619268000
Alabama,18,2018,4323984000
Arkansas,21.8,2018,2692662000
Arizona,19,2018,4915554000
California,46.7,2018,27822018000
Colorado,22,2018,4245570000
Connecticut,25,2018,2631636000
"Washington, D.C.",23.5,2018,158088000
Delaware,23,2018,970578000
Florida,31.425,2018,15238608000
Georgia,26.8,2018,8307726000
Hawaii,16,2018,1973076000
Iowa,30.5,2018,3749592000
Idaho,33,2018,1493604000
Illinois,20.1,2018,10431624000
Indiana,28,2018,5765256000
Kansas,25.03,2018,2775948000
Kentucky,26,2018,5022696000
Louisiana,20.125,2018,15525552000
Massachusetts,24,2018,4775106000
Maryland,33.8,2018,4038090000
Maine,30,2018,1424346000
Michigan,26.3,2018,7589442000
Minnesota,28.6,2018,5229252000
Missouri,17.3,2018,5221986000
Mississippi,18.4,2018,3112452000
Montana,31.5,2018,1374618000
North Carolina,35.35,2018,7622160000
North Dakota,23,2018,1511664000
Nebraska,29.3,2018,1963878000
New Hampshire,23.825,2018,1330098000
New Jersey,37.1,2018,7254492000
New Mexico,18.875,2018,2099454000
Nevada,23.805,2018,2508240000
New York,24.2,2018,11614302000
Ohio,28,2018,8996778000
Oklahoma,17,2018,4349142000
Oregon,34,2018,2828448000
Pennsylvania,57.6,2018,9589692000
Rhode Island,34,2018,683046000
South Carolina,16.75,2018,4400634000
South Dakota,30,2018,962976000
Tennessee,25.4,2018,5783232000
Texas,20,2018,64241352000
Utah,29.4,2018,2508030000
Virginia,16.2,2018,7222026000
Vermont,30.72,2018,643860000
Washington,49.4,2018,6216462000
Wisconsin,32.9,2018,4648518000
West Virginia,35.7,2018,1796088000
Wyoming,24,2018,1239714000
Alaska,8.95,2017,1616454000
Alabama,18,2017,4422978000
Arkansas,21.8,2017,2657760000
Arizona,19,2017,4855788000
California,32.8,2017,27726888000
Colorado,22,2017,4078158000
Connecticut,25,2017,2501940000
"Washington, D.C.",23.5,2017,139734000
Delaware,23,2017,912912000
Florida,30.925,2017,14588574000
Georgia,26.3,2017,8519490000
Hawaii,16,2017,1977822000
Iowa,30.7,2017,3648456000
Idaho,33,2017,1472520000
Illinois,20.1,2017,10411716000
Indiana,18,2017,5746944000
Kansas,25.03,2017,2712570000
Kentucky,26,2017,4831134000
Louisiana,20.125,2017,16117080000
Massachusetts,24,2017,4661790000
Maryland,33.5,2017,3986724000
Maine,30,2017,1502256000
Michigan,26.3,2017,7371042000
Minnesota,28.6,2017,5136852000
Missouri,17.3,2017,5158734000
Mississippi,18.4,2017,3149664000
Montana,27,2017,1380834000
North Carolina,34.55,2017,7450548000
North Dakota,23,2017,1471008000
Nebraska,28.2,2017,1915746000
New Hampshire,23.825,2017,1299144000
New Jersey,37.1,2017,7072464000
New Mexico,18.875,2017,2044308000
Nevada,24.805,2017,2493162000
New York,24.2,2017,11261292000
Ohio,28,2017,8896482000
Oklahoma,17,2017,4366362000
Oregon,30,2017,2793546000
Pennsylvania,58.2,2017,9460752000
Rhode Island,34,2017,623406000
South Carolina,16.75,2017,4392066000
South Dakota,30,2017,941220000
Tennessee,21.4,2017,5748204000
Texas,20,2017,58888956000
Utah,29.4,2017,2391102000
Virginia,16.2,2017,7049238000
Vermont,30.46,2017,652260000
Washington,49.4,2017,6138762000
Wisconsin,32.9,2017,4422642000
West Virginia,32.2,2017,1599654000
Wyoming,24,2017,1203804000
Alaska,8.95,2016,1642746000
Alabama,18,2016,4493160000
Arkansas,21.8,2016,2671914000
Arizona,19,2016,4798668000
California,35,2016,27155646000
Colorado,22,2016,4022046000
Connecticut,25,2016,2478336000
"Washington, D.C.",23.5,2016,161616000
Delaware,23,2016,894516000
Florida,28.4,2016,14413560000
Georgia,26,2016,8071224000
Hawaii,17,2016,1901760000
Iowa,31.8,2016,3791088000
Idaho,33,2016,1462734000
Illinois,20.1,2016,10377612000
Indiana,18,2016,5953794000
Kansas,25.03,2016,2773764000
Kentucky,26,2016,4974984000
Louisiana,20.125,2016,15109710000
Massachusetts,24,2016,4646796000
Maryland,32.6,2016,4014066000
Maine,30,2016,1555680000
Michigan,19,2016,7457730000
Minnesota,28.6,2016,5152728000
Missouri,17.3,2016,5229546000
Mississippi,18.4,2016,3181332000
Montana,27,2016,1337994000
North Carolina,35.25,2016,7396620000
North Dakota,23,2016,1325436000
Nebraska,27.7,2016,1916376000
New Hampshire,23.825,2016,1261512000
New Jersey,14.5,2016,7337148000
New Mexico,18.875,2016,1933344000
Nevada,23.805,2016,2358552000
New York,25,2016,11262888000
Ohio,28,2016,8949948000
Oklahoma,17,2016,4191264000
Oregon,30,2016,2727522000
Pennsylvania,50.3,2016,9352476000
Rhode Island,34,2016,616224000
South Carolina,16.75,2016,4376190000
South Dakota,30,2016,949284000
Tennessee,21.4,2016,5802552000
Texas,20,2016,57575280000
Utah,29.4,2016,2323482000
Virginia,16.2,2016,7020972000
Vermont,30.46,2016,656166000
Washington,44.5,2016,6350400000
Wisconsin,32.9,2016,4439484000
West Virginia,33.2,2016,1658832000
Wyoming,24,2016,1197126000
Alaska,8,2015,1762362000
Alabama,18,2015,4271400000
Arkansas,21.8,2015,2606604000
Arizona,19,2015,4629366000
California,42.5,2015,26283726000
Colorado,22,2015,3982860000
Connecticut,25,2015,2606310000
"Washington, D.C.",23.5,2015,166110000
Delaware,23,2015,889896000
Florida,28.525,2015,14014560000
Georgia,19.3,2015,8272278000
Hawaii,17,2015,1916670000
Iowa,22,2015,3695370000
Idaho,26,2015,1439088000
Illinois,20.1,2015,10351866000
Indiana,18,2015,6124524000
Kansas,25.03,2015,2764482000
Kentucky,27.6,2015,4915512000
Louisiana,20.125,2015,15385566000
Massachusetts,24,2015,4773216000
Maryland,30.3,2015,4212894000
Maine,30,2015,1610742000
Michigan,19,2015,7308798000
Minnesota,28.6,2015,4970658000
Missouri,17.3,2015,5234376000
Mississippi,18.4,2015,3110982000
Montana,27,2015,1325856000
North Carolina,37.75,2015,7213794000
North Dakota,23,2015,1542702000
Nebraska,26.5,2015,1918098000
New Hampshire,23.825,2015,1310022000
New Jersey,14.5,2015,7227318000
New Mexico,18.875,2015,1947960000
Nevada,23.805,2015,2182362000
New York,25.8,2015,11202744000
Ohio,28,2015,8927184000
Oklahoma,17,2015,4200966000
Oregon,30,2015,2678256000
Pennsylvania,50.5,2015,9700404000
Rhode Island,33,2015,701484000
South Carolina,16.75,2015,4271652000
South Dakota,24,2015,959448000
Tennessee,21.4,2015,5661516000
Texas,20,2015,56071596000
Utah,24.5,2015,2248008000
Virginia,16.2,2015,6921222000
Vermont,31.97,2015,689430000
Washington,37.5,2015,5888610000
Wisconsin,32.9,2015,4514580000
West Virginia,34.6,2015,1579284000
Wyoming,24.5,2015,1235304000
Alaska,8,2014,1702764000
Alabama,18,2014,4089204000
Arkansas,21.8,2014,2680062000
Arizona,19,2014,4492236000
California,46.5,2014,25340952000
Colorado,22,2014,3955644000
Connecticut,25,2014,2546460000
"Washington, D.C.",23.5,2014,163128000
Delaware,23,2014,839328000
Florida,17.1,2014,13342602000
Georgia,19.3,2014,7863828000
Hawaii,17,2014,1880970000
Iowa,22,2014,3778614000
Idaho,26,2014,1332534000
Illinois,20.1,2014,10002300000
Indiana,18,2014,6020364000
Kansas,25.03,2014,2875194000
Kentucky,30.8,2014,4818870000
Louisiana,20.125,2014,15037806000
Massachusetts,24,2014,4654104000
Maryland,27,2014,4086978000
Maine,30,2014,1539216000
Michigan,19,2014,7211820000
Minnesota,28.6,2014,5037060000
Missouri,17.3,2014,5166042000
Mississippi,18.4,2014,3034038000
Montana,27,2014,1341522000
North Carolina,37.75,2014,7023534000
North Dakota,23,2014,1854048000
Nebraska,27.3,2014,1918770000
New Hampshire,19.625,2014,1330434000
New Jersey,14.5,2014,7081914000
New Mexico,18.875,2014,1951698000
Nevada,23.805,2014,2227554000
New York,26.4,2014,11197872000
Ohio,28,2014,8809038000
Oklahoma,17,2014,4298364000
Oregon,30,2014,2675274000
Pennsylvania,40.7,2014,9863196000
Rhode Island,33,2014,700938000
South Carolina,16.75,2014,4019526000
South Dakota,24,2014,949830000
Tennessee,21.4,2014,5549376000
Texas,20,2014,53752272000
Utah,24.5,2014,2214492000
Virginia,11.1,2014,6885606000
Vermont,31.97,2014,674436000
Washington,37.5,2014,5484780000
Wisconsin,32.9,2014,4580856000
West Virginia,35.7,2014,1605660000
Wyoming,24,2014,1326990000
Alaska,8,2013,1719228000
Alabama,18,2013,4102938000
Arkansas,21.8,2013,2641674000
Arizona,19,2013,4478292000
California,43,2013,25391352000
Colorado,22,2013,3833214000
Connecticut,25,2013,2543814000
"Washington, D.C.",23.5,2013,151200000
Delaware,23,2013,825342000
Florida,16.9,2013,13152762000
Georgia,19.5,2013,8078574000
Hawaii,17,2013,1951740000
Iowa,22,2013,3695538000
Idaho,26,2013,1298934000
Illinois,20.1,2013,9736020000
Indiana,18,2013,5928384000
Kansas,25.03,2013,2732940000
Kentucky,29.9,2013,4796442000
Louisiana,20.125,2013,15548400000
Massachusetts,21,2013,4669644000
Maryland,23.5,2013,4052328000
Maine,30,2013,1506078000
Michigan,19,2013,7091826000
Minnesota,28.6,2013,5001990000
Missouri,17.3,2013,5042394000
Mississippi,18.4,2013,2992416000
Montana,27,2013,1366680000
North Carolina,37.75,2013,6849444000
North Dakota,23,2013,1750014000
Nebraska,27.3,2013,1893192000
New Hampshire,19.625,2013,1239840000
New Jersey,14.5,2013,7209888000
New Mexico,18.875,2013,1898778000
Nevada,23.805,2013,2169552000
New York,26.6,2013,10767960000
Ohio,28,2013,8742468000
Oklahoma,17,2013,4049640000
Oregon,30,2013,2638062000
Pennsylvania,31.2,2013,9690198000
Rhode Island,33,2013,667632000
South Carolina,16.75,2013,4023222000
South Dakota,24,2013,935340000
Tennessee,21.4,2013,5419932000
Texas,20,2013,54243504000
Utah,24.5,2013,2193912000
Virginia,17.5,2013,6604080000
Vermont,26.68,2013,664986000
Washington,37.5,2013,5585244000
Wisconsin,32.9,2013,4307982000
West Virginia,34.7,2013,1623384000
Wyoming,14,2013,1258236000
Alaska,8,2011,1992396000
Alabama,18,2011,4299204000
Arkansas,21.8,2011,2752386000
Arizona,19,2011,4527684000
California,35.3,2011,25878888000
Colorado,22,2011,3790920000
Connecticut,25,2011,2612022000
"Washington, D.C.",20,2011,180054000
Delaware,23,2011,918204000
Florida,16.2,2011,13196778000
Georgia,17.6,2011,8276436000
Hawaii,17,2011,1989414000
Iowa,22,2011,3684156000
Idaho,26,2011,1283646000
Illinois,20.1,2011,9834384000
Indiana,18,2011,5802930000
Kansas,24,2011,2645958000
Kentucky,25.9,2011,5188218000
Louisiana,20,2011,16442076000
Massachusetts,21,2011,4726890000
Maryland,23.5,2011,4031748000
Maine,29.5,2011,1523004000
Michigan,19,2011,6742134000
Minnesota,29.6,2011,4790226000
Missouri,17.3,2011,5189100000
Mississippi,18.4,2011,3002496000
Montana,27,2011,1398768000
North Carolina,32.75,2011,6974646000
North Dakota,23,2011,1449378000
Nebraska,27.3,2011,1874376000
New Hampshire,19.625,2011,1248744000
New Jersey,14.5,2011,7598766000
New Mexico,18.875,2011,1892100000
Nevada,24.805,2011,2149812000
New York,25,2011,11159190000
Ohio,28,2011,8776992000
Oklahoma,17,2011,4037166000
Oregon,30,2011,2690562000
Pennsylvania,31.2,2011,9879324000
Rhode Island,33,2011,669312000
South Carolina,16.75,2011,4014318000
South Dakota,24,2011,926436000
Tennessee,21.4,2011,5513592000
Texas,20,2011,49874790000
Utah,24.5,2011,2209746000
Virginia,17.5,2011,6556158000
Vermont,24.98,2011,665490000
Washington,37.5,2011,5545008000
Wisconsin,32.9,2011,4321632000
West Virginia,32.2,2011,1645182000
Wyoming,14,2011,1295196000
Alaska,8,2010,2019150000
Alabama,18,2010,4315500000
Arkansas,21.5,2010,2794932000
Arizona,18,2010,4492824000
California,18,2010,26432028000
Colorado,22,2010,3894576000
Connecticut,25,2010,2716644000
"Washington, D.C.",20,2010,192864000
Delaware,23,2010,831138000
Florida,16,2010,13925940000
Georgia,16.8,2010,8563968000
Hawaii,17,2010,1946952000
Iowa,21,2010,3687600000
Idaho,26,2010,1295868000
Illinois,20.1,2010,10017798000
Indiana,18,2010,5867526000
Kansas,24,2010,2779770000
Kentucky,24.1,2010,5282466000
Louisiana,20,2010,16386804000
Massachusetts,21,2010,4818660000
Maryland,23.5,2010,4159176000
